,Unnamed: 0,Unnamed: 0.1,class,text,forum
10,12,13,0,"On or about Sept, I signed up for food delivery service. I emailed the company later that day clearly requesting to not be placed on auto ship/auto pay. The website said Â“To cancel your subscription, click Edit Plan on the Plans tab to update your status or email.Â I chose the latter option, using the email address they provided to say that I did not want any future shipments. To ensure my request was received, I tried to call the company, but no phone number was listed on the website. In addition, the Â“Chat With UsÂ” option on the website was disabled. I left the country the following day for a business trip. During this time, the company attempted to email me, saying that I should update my preferences via their website. This was confusing because I had already put my request for cancellation in writing via email, just as their instructions said to do. By the time I returned to the US and received their email, the company had already sent and charged me for a second shipment Â— despite my clearly written request not to do so. Perhaps more frustrating was the person I spoke with at the company, who seemed completely uninterested in resolving the situation to some degree of satisfaction.",1
11,13,14,1,"I received a sample box and didnÂ’t care for it. The snacks were awful and in tiny amounts. It wasnÂ’t worth the cost, so I cancelled my subscription & they charged me for another box anyway, but never sent the box and would not refund. This company is a total fraud.",1
12,14,15,0,"I ordered one (1) box of Gefen Gluten Free Matzo crackers online. Once I opened the box, I discovered they were all broken apart, quite badly. The reason, I believe, is because there was nothing inside the shipping/corrugated box to protect them, no bubble wrap or anything. So, I called the...Â company and spoke to whom I believe was the owner. Reluctantly, he agreed to ship me a replacement box. When it did not arrive, I called again and this time he implied that I was lying because all products are shipped with bubble wrap. He also thought that because I waited 3 weeks before calling to inform him of the broken crackers, that that, too, was indication that I was not being truthful. I explained that I did not immediately open the box of crackers because I did not need or want them yet as I had others to finish first. He was very angry, unprofessional and offensive. I too became angry because of his implications that I was lying, which I absolutely was not!! Now he refuses to send me a replacement box.",1
13,15,16,2,"After paying for all my groceries, security snatched my shopping bags on my way out, giving me some type of tag. I told him that I paid for everything, but he didn't listen to me, thinking that me and my husband were about to leave with the shopping cart. All the shopping carts are normally put near...Â the exit, so we just walked with it from cashier to the exit and wanted to put it there (this is not the first time we've been in this shop and we do every time, because we don't leave it just beside a cashier in the middle of the store!). Then security guy took away shopping bags from my husband, which surprised us, because no one has a right to take away ANY of the customer's belongings. My husband tried to take it back and was insulted by security. I called to the shop right away and ask for a manager. Manager saw the entire situation, but justified it, explaining that security guy was thinking we were leaving with the shopping cart. Even if he did so, he could have just told us about it and ask politely to return the cart (once again, we didn't leave the shop yet so the cart was inside). Manager also mentioned that we used obscenities in our native language, which actually was not related to any of the employees, but we were shocked by such service. This was the last time I went there. They sold not fresh food (and I did complain about that on ****, but no one seemed to care), which I returned. This is unappropriated behavior from security and unappropriated respond from the manager. They didn't apology for their mistake, they just defended the security, who think that he could just take away paid groceries from the customer. They put me in the position when I have to defend myself, and they do not regret what they did. This is shocking, never I saw anything in any store here.",1
14,16,17,1,"I bought Tastee Choice chicken parmesan in February for my family, it was nasty. Nobody liked it and it went to the disposal. The look and taste was both did not seem right. I called the company and they had a quality control man call me, he agreed it was not right by my description. I asked for a...Â refund and he kept trying to give me coupons for different products. I told him no, he said he would check into getting me refund and call me back, I still haven't heard from them. This is not the way a company should stand by their products. Do not buy the Tastee Choice product.",1
15,17,18,1,I had bought a Salsa from the company above listed through a merchant that refused to refund me and suggested I go through the manufacturer. I called many times to this Salsa company they don't answer there phone. Facebook is the other contact. There suppose to refund back haven't heard any response back from This vendor. The salsa bought was spoiled and molded. The store wasn't able to give me a refund or exchange. It was a total waste of my money buying this Salsa.,1
16,18,19,0,Missing items in order placed and charged forI have made five attempts via email and phone to contact this company regarding the items that are missing from my order. I finally got through to someone and they confirmed that they would ship out my missing items they also said they would send an email with this confirmation they did not email me a confirmation of the items being shipped they said it would arrive in three business days that was on Monday 11/16/15 it is now Thursday 11/19/15 today I made a sixth attempt to contact them with no response all I want is my missing items from my order my order number.,1
17,19,20,2,"The delivery time was completely wrong. The costumer service was completely lost.Â On 12/09 I ordered from the location at 9:55pm. Delivery time was suppose to be between 13-16pm. When I called the store at 10:48 the woman had a bad attitude. She told me to give them some more time. I did. At 11pm my co-worker whom orders with me called the store due to the fact that she was leaving. Spoke to the manager, the manager once again was very rude. I've never heard a manger curing out a costumer because she was asking to be reimburse for the time that had been wasted waiting on her food. The delivery driver finally arrived at 11:07 pm, Our food was cold, the delivery driver did not know I spoke creole and was talking smack about us to the manager over the phone. I've never seen such unprofessionalism in all my years of ordering from this company. We were disrespected, not reimbursed, and given food that was cold. She did not try in anyway to listen. I have pictures of the time the order said it was supposed to arrive, I have the time that the order was placed. I've never felt so disrespect in my life this way!Â ",1
18,20,21,1,"This business advertises as online food store, I place an order with them and never received the order, they card my credit card. I try to contact them and there was no resolution the woman who answered the phone was very unhelpful and didn't offer any resolution to the fact that I never received the order, she hang up on me. I called back and I asked for a supervisor and she stated she doesn't have a supervisor available for over 60 minutes that I was on hold. This company should is a scam. I lost my money and never got the order.",1
19,21,22,1,"I have been waiting on my trailer to be repaired since February 2016 and the owner Bruce hicks and wife michelle upon meeting were very polite and he seems to know what he was doing and promised us he would help us on a bad trailer repair from action trailer. We were behind a job they were doing for Hollywood police department and that was in February. I called in march and they said I was next, Well not only did they abandon the job which was my trailer to go to Georgia for a week, they never informed me of it and a month after that they moved without contacting with there move. I would of love being notified of the move so I can make a diction myself to let them to continue to work on my trailer or not. the move was far for me because I live in Miami and Davie was just right for me not commercial Blvd. he is very loud, disrespectful towards customers and make jokes like I had a Jamaican girlfriend one in front of his wife or who ever she more than once. PLEASE RUN FAR AWAY FROM THIS PLACE CALLED THE FOOD TRUCK HEAVEN......HEAVEN IT IS NOT. THE WILL BE CALLING HIM SOON.",1
20,23,24,0,"This Company does not provide the customer with enough information to reliably use their product, in this case, apricots. My large package was totally useless, which would not have h appended if I knew what they told me only after I called them about the spoiled product. Then they said (1) the product has a six-month shelf life; (2) should not be put into a refrigerator;(3) and they limit the time to request a replacement to five days - even though I received this package as a Christmas gift and placed it under the tree, to be opened nearly a month later. They washed their hands of the matter. They should provide more information with their product. Why a five-day window if the shelf life is six months?",1
21,24,25,0,"On 12/08/17 I placed an order online for two packages of beef jerky, I paid $7 for shipping and handling, totaling $25, and I never received my order. I left several voicemail messages because when you call the customer service number, you are put on hold, and then directed to leave a message. I...Â also sent several emails explaining my issue, and no one has replied or tried to contact me. I have copies of all my emails sent and also records of my phone calls to Alien Jerky. I called the store directly once and left all my information, she said that she would forward my message to their online dept and I have not heard from anyone.",1
22,25,26,2,"I am very dissatisfied with the customer service that a high dollar, name brand company would have. I received a pair of Hunter Boots for Christmas, I would never personally purchase rain boots for over $100.00 especially since I live in Arizona, where It rarely rains. My friend got me these boots for a trip to Washington I was going on in late January. I did not receive my boots until Jan. 2 because we live in different states and that is when we saw each other for our gift exchange. When I opened my boots I of course tried them on with excitement, however the boots did not fit. I emailed Hunter boots explaining my issue with the fit of the boots and that I received them as a gift, so the online account they were purchased on would not match my name and that I wanted to exchange them for the Adjustable calf boots, which cost more, I am aware of that and willing to pay the difference. I did not receive a reply for 8 days, due to this delay in response I was already frustrated but was understanding due to high volume from the holidays. I got a response asking for multiple pictures of my product and I sent those over within 2 days. 8 more days go by until I receive another response from the company. The second response was from a different employee again asking for basically the same information I had just provided. My frustration level increased at this point due to the delay again and now I felt like I was not a valued customer because they did not care to even look into my issue, instead asked the same thing that was already asked. I provided the information again because I just wanted my problem resolved. 7 days later I receive an email from a 3rd employee confirming I am eligible for a like for like exchange, which is great, however that is not what I was asking for. At this point I would have expected them to tell me that I could not exchange my $150.00 boots for $160.00 boots, but I could just return my $150.00 boots for a refund and then buy the $160.00 boots. instead, I had to explain myself AGAIN and then I got a reply 3 days later, from a 4th employee, letting me know that the exchange could not be done and I would have to return my boots for a refund and asked for my order information, for the 3rd time. I provided the information requested and got a reply 2 days later saying my request could not be complete because I am not the person who purchased the boots. It is now Feb. 8, a month later, and I again had to explain that these boots were a gift and that I was just trying to get all this sorted out that they could refund the money to my friend after I sent the boots back. I finally got a return label and sent the boots back on Feb. 13. The refund finally was processed on February 27. I am shocked that a company that sells expensive products would have such a long turnaround time and lack of care for their customers. My refund process took 49 days, and 4 different employees to sort all of it out. I understand that my request for an exchange was not possible, but the lack of care, the huge delay, and the continuous run around was completely unnecessary. I am very disappointed in the customer service provided by this company and will not be purchasing anything from Hunter again.",1
23,27,28,0,"My husband purchased a pair of boots online for my birthday on 8/17. When I got them on my birthday (9/17), it was obvious that they were too big. I tried initiating a return online. I reached an order account page that stated my boots were eligible for return until 9/17. I attempted to process...Â a return. I was directed to a page to print out a return label, but the label never loaded, and I was unable to get to that page again. I tried contacting customer service by the email listed on the packing slip with no reply. There was still no reply, so I attempted their online chat. No one ever responded to the chat. I sent another email through the website form. I called the customer service line 2x, was hung up on the 1st time. I finally got a hold of a customer service rep, who told me after looking up my account that they couldn't return ""final sale"" items, despite the fact that the boots were never identified as final sale. I asked for the issue to be escalated. I was told I would be called back. I was never called back. I finally got a response by email from my website submitted attempt. I provided all of the above information. I was told that it was being assess. I finally just got an email back today after winding a follow up email saying that management said that they cannot accept returns of final sale items, but again, these boots were never listed as final sale at time of purchase.",1
24,28,29,0,"I ordered an item via the Club Monaco website. The item was delivered but in the wrong size. A size extra small instead of a large. Consequently, I called the Club Monaco customer service and explained the situation. I spoke to a very nice and super efficient customer service rep. She informed that...Â the item was no longer available in a size large online, but she would research brick & mortar stores to check availability of the item. The customer sales rep found several stores and decided the Soho, NY store would be the best option because they had 2 larges available and they close at 9PM. The rep called the store and briefed sales associate Reya relative to ordering and shipping the correct size from the Soho location. I called the store and spoke to Reya who referred to a male sales associate that supposedly who had more experience with shipping orders. Spoke with the male associate with the fake accent who had a very negative tone. Also due to his fake accent I was unable to understand what he was saying. I became very irritated. Therefore, he rudely stated that he would the manager. The manager was extremely rude as well with a very dismissive tone. It became quite obvious that I was dealing with people who has zero interest in helping me. I attempted to explain to the manager the problem even though the the customer service rep had explained to them my need. I was very firm with the manager who decided it would be better to fight with me rather than resolve a simple problem. I stated to the manager that I was going to submit a complaint to the corporate office and asked his name and the other male sales associate. He stated to me that he felt uncomfortable giving his name and refused to do so. I was very offended by this statement. I was was hanging up, the manager finally blurted out his name which is Travis. His guilt prevailed causing him to react. Travis is an extremely rude, nasty, dismissive, snide and unprofessional person constantly talking down to me. Thanks Club Monaco for nothing.",1
25,29,30,0,"On July, 2016, I attempted to return a pair of shoes to your SoHo location. I was treated extremely rudely by staff who acted as if I was trying to scam the store. I have been a customer of Club Monaco for years, and have never been treated like this by any retailer, ever. The treatment was so...Â bad I have to reconsider continued patronage of Club Monaco. Because I was so stunned by the treatment and aggravated, I just left the shoes on the counter and walked out of the store.",1
26,30,31,2,"Hi. i made an online order from massimo dutti in November 2017. I got and email says that my package has been delivered in December, but I didn't get I emailed the customer service several time telling them I didn't receive any thing and also emailed the carrier and no answer from...Â both. now I want my money back.",1
27,31,32,2,"I have attempted to return Christmas gifts within the 30-day return policy. When I received the package, the return label was blank, preventing me to drop it off at the UPS store. When I called the customer service line, I was told that Massimo Dutti doesn't allow shipments to APO/DPO boxes,...Â therefore the company will not accept the items; that I would not get a return label because ""it would still not get back in time""; that because I was stationed overseas, I should have known how long it was going to take. --When checking out, there are no error flags or anything preventing the shipment of items to an APO/DPO box in page (2) YOUR ACCOUNT nor on page (3) DELIVERY. There is nothing in the Term & Conditions stating that shipping is restricted. --I have sent over 10 emails with not a single personalized response. Automated messages state that I would get a prompt reply, but I haven't gotten a single one. I have also called three times to talk to a manager/supervisor and have been denied every single time because there are none available. I received ONE call back when I was not home and the person did not leave a name and told my wife that ""He has our number in the email"". All I wanted to do is return the items for a different size and enjoy my holiday, that's it.",1
28,32,33,2,Horrible customer service. They shipped the package. I never received. They don't even want to bother reaching out to me or refunding. 0 stars.,1
29,34,35,0,"Saw a super cute dress in the store and noticed a large majority of them had missing or loose buttons. Against my better judgement my sister talked me into purchasing the dress saying that they can't all be poorly constructed and that Zara is a great company and would stand behind their product. Half hour into my dinner (and having the dress on for approx. 45 mins) one of the buttons came off completely and I noticed the remaining buttons were coming loose. Excused myself from dinner and spent half hour sewing the button back on and securing the rest. Spoke with customer agent that said looks like there is nothing wrong, all the buttons are still on from the pictures submitted (yes, still on from me sewing them) spoke with another customer service agent that said since the item has been altered there is nothing they can do! For a company with brand value of approximately 13 BILLION they really should have better products and better customer service!",1
30,35,36,1,"I was with my husband when he bought a blazer. When we were at the counter he asked if for some reason if he loses the receipt and do not receive the one that is emailed to him...would he have a problem to return the item...and if he wanted store credit he could get that. The cashier said yes... which was a lie. We went back to return the blazer and they will not let him get store credit. They do not have the blazer in his size, and do not have them at the other stores. He does not have the receipt but has the bank statement. He was told that their return policy has recently changed... ok how are the customers suppose to know that? I would not advise no one to shop there.... They have other better stores out there that know how to treat their customers right.",1
31,36,37,1,"Absolutely the worst customer service you can imagine. I spent $350 in merchandise and tried to return it the next day with a receipt and the tags still on. Turns out the cashier had accidentally cancelled the receipt, so I would have to go through head office. Six weeks later, full of complete and utter frustration, they provide me with a reference number, so I can finally get a refund. I happened to be walking by a Zara so I went in with the reference number. They couldn't help me because it wasn't the store I said I'd visit. So today, I receive a call from head office, saying that because I'd gone into a different store, all bets were off! Store credit only. I told them I'd go to the other store, but they'd have none of it. I'd blown it, apparently. And all because THEIR cashier had messed up! Stay away from this place they are crooks!!!!",1
32,37,38,1,"Every store that I have ever done business with will accept a return if the tags are attached and not worn and with the time period for returns even if the original receipt is not available! Tried to return a shirt and they refused to take it back or just deduct it from a purchase that I was making, never had any store do this.... shitty way of doing business.... lesson learned ...save all your receipts from Zara... or better yet DonÂ’t shop there!!!!",1
33,38,39,0,"I am writing this review because I have an open case due to a refund that wasnÂ’t issued correctly. I returned an item at the Zara located at the Florida mall (Orlando, Fl) after waiting for more than 10 for my refund to be posted on my account, I noticed something was not right because it usually doesnÂ’t take that long... I went back to the store and the manager pulled out the original transaction and realized the refund wasnÂ’t issued properly, she advised me to call the customer service number on Monday because it was Sunday and the corporate office was closed and assured me that it will take 7 to 10 business days to receive my money back! I filed the case and sent all receipts associated with the transaction on February 7, the representative also told me that it will take 7 to 10 business days to receive my money back and until this day I have not received my money yet and every time I call I get a different answer from everybody, I have never EVER in my life had waited almost a month to get my money back from a return. This is completely disappointing and unacceptable, itÂ’s not a large amount but itÂ’s the principle... This shows how much they care about customers that spend their hard-earned money at your stores. I called again today and they still donÂ’t have an answer, the lady said is being reviewed. If youÂ’re planning on keeping my money for not reason, please at least let me know so that I can go a different route!! I am hoping someone contacts me regarding this situation and maybe get an honest answer by tomorrow, otherwise IÂ’ll assume that you donÂ’t care and that you prefer for me to handle it differently! Thank you!",1
34,39,40,1,"This is my first time buying from Zara website. I bought a black cross body bag for a friend's birthday this Saturday. I got so excited when i got my package early but when i opened the box it has the wrong item - a pair of shoes. I reviewed my order confirmation and it says in there very clearly that i purchased a purse/bag and even with pictures, so I just do not understand why they made a mistake of not shipping the correct item. I chatted with a staff on their website and told her about my order complaint. She wants me to take a picture of the item to send to her in the chat box for internal investigation. Really??!!! That got me so irritated .... as if I am making up stories about my complaint. ALL I WANT IS MY PURSE WHICH I PAID FOR. Not too mention their return policy really sucks.... after shipping to return I will be refunded for 10 to 14 days???!!! Unfair. Why does a customer like me suffer this long when it was obviously their mistake? Will definitely return the item to them, but I will cancel my order. I would rather spend the money to a more deserving store. No time to deal with this business that obviously does not see the importance of good customer service. Too bad they just lost one customer. My first and my last. Will definitely not recommend to family and friends.",1
35,40,41,2,"I placed an order on zara's website, then when I got the package it was totally wrong, I order children's clothes and received 2 sweaters for woman. I had to return the wrong package and just after that they would send me my actual order, but in the meantime my items got sold out. They totally showed me the middle finger and offer me a $10credit for my next order, which I actually never got it. They have just the most awful customer service I ever had to deal with. I will never EVER buy from them again. Will stick with the American companies that are SO MUCH BETTER.",1
36,41,42,1,"I would like to share my shopping experience with you. I recently ordered a few items online. I never received any types of emails for confirmation or tracking. My package arrived without any paper receipts. Some items had tags while some didnÂ’t, while still others had pen mark all over them. I promptly went to the store to return the items and was told that without a receipt I could not return my items nor get store credit. I do not live close to a store and drove half an hour each way to simply be told to call Zara later on with no help or care from employees or managers in the store. I went home and used the Â“chatÂ” feature online. I spoke with Manesha which was utterly useless. I spent an hour chatting with someone who was unknowledgeable and actually disconnected our chat when I asked to speak to a manager. I am now stuck with my items and first have to get some kind of receipt and travel yet another hour to return my items. I have never experienced such callous employees, managers, and store chats before. I will not be shopping here again.",1
37,42,43,1,"Gucci customer service is terrible. I have ordered an item from them and never received the item through their carrier. They gave me a deadline of when they would trace the item and satisfy the claim/investigation. Once the deadline came, no attempts were made in reaching out to the carrier to process the investigation. IÂ’ve been getting the run around that someone would call me with updates and no call was made. I had to continuously call for updates without any progress made in their part. The incompetence from a reputable company is deplorable and deters me from ever purchasing from them again. Customer service was in NO way helpful or supportive. Truly ridiculous.",1
38,43,44,1,"Rude and unhelpful telephone customer service representatives that you must wait >20 minutes on hold to speak with; the brick and mortar flagship boutiques donÂ’t even answer their phone; the online Â“chat representativesÂ” will frequently disconnect with you rather than answering your question; delays in your order oftentimes surpass 3 months; extremely slow shipping (even on expedited orders); extremely slow return process...Overall, Gucci is the worst couture company currently around in regard to customer service. Gucci has an F rating on the BBB for a reason. Behind the fancy clothes are flat out reprehensible representatives in all facets of this Â“companyÂ”. Buyer beware.",1
39,44,45,1,"I made a purchase on 12/19 for a shirt that was on clearance. Using a coupon I purchased it for around $42. I placed this order with 2 day shipping. I contacted Brooks Brothers 12/21 asking why my order said ""Order received"" and pending. I received an e-mail on 12/28 stating that my order could not be fulfilled. Magically, the store STILL had the exact item in stock, but now listed for $92 instead of the clearance price of $68. I was then charged for the item even though this order allegedly couldn't be fulfilled. When I emailed them inquiring about this, I received no answer. I just checked now to see if the charge is off my credit card and it is. No comments from the company at all. I was stuck without a Christmas gift for my cousin without a single explanation for it at all. I'm extremely upset about this lack of transparency within this scam of a company. They've lost my business forever, I'm just sorry we also gave my cousin a $50 gift card to this terrible store.",1
40,45,46,0,"I made notice on October 2016 to Brooks Brothers that I am having a technical problem with their website. Specifically, although I am enrolled in auto-pay, the system shows me an error message when I try to enter settings for auto-pay. I have spoken to their customer service and tech support people many times since my first notice. They acknowledged the problem on Oct and said they assigned a tech supervisor to make the necessary repairs. They said that It should be fixed in 24 hours and that I should check then. Still, as of Oct, the problem has not been repaired contrary to their promises. Further, as of today Oct, customer service let me know that they have no record in their system that a complaint was ever made to them or tech support. Brooks Brothers lack attention to this matter is appalling.",1
41,46,47,0,"I purchased some clothing from the online store and chose the gift option which gives me a bag. This however was not in the package. I contacted the customer service asking that they send a bag to me, after all this is a gift for a close relative. I was told via email that they will not do that and...Â if I am unhappy I can return the order for a full refund. Returning the order and reordering it will take time and effort on my part when this is the company's mistake. I think it is totally reasonable to expect them to send me a bag as promised during the ordering process. Having paid quite a lot of money for these clothes, I would expect to be treated with more respect.",1
42,47,48,2,Hi I purchase from mays a locoste shirt few weeks ago and the shirt is falling apart they told me i have to you when i called customer services was not pleasant basically told me there is nothing you can do about this i dont understand any company should stand behind there brand and not let the...customer deal with this i always purchase LACOSTE SHIRT and other product after today i donÂ’t know way i spent money on your BRAND if you donÂ’t care about your customer and tell the to go.,1
43,48,49,1,"I will not be purchasing another waist gang society anything ever again. If you pay for a certain color product, and it's not in stock, then don't have it listed as an option and then say we will send what's in stock. That's false advertisement. If it's not in stock, it shouldn't be listed on the website. And when you call their response is lackadaisical.",1
44,49,50,1,Terrible customer service. Garments are not as they portray them to be. Wrong sizes. Increased expense with customer paying shipping back and forth for company's mistakes. No credibility.,1
45,50,51,0,"On 7/16 while attending a celebration for my little sisterÂ’s birthday at Turtle Bay Tavern, the management forced our party of over 20 paying customers to leave. Upon arrival (our group did not show up all at once) the 1st arriving friends/family were seated in our reserved section and ordered...Â food & beverages from a waitress. When served the food (one of our guests were not satisfied with their selection, it was spinach dip and was visibly dry, she then asked the waitress if it could be changed/altered after tasting it. At this time the waitress began to become agitated by the request and rolled her eyes and told the guest that ""she already bit the food and could not change it"". Shortly after that the bill for that specific meal was asked for and when paid the guest did not leave a tip with the bill (at this time the entire group of people still have not arrived). Upon reviewing the check, the waitress returned to the table and confronted the guest pointing her finger in the face of the guest saying ""oh your not going to tip me!"" this resulted in the two having a rather loud discussion over the issue. As I use the word loud I would like to point out that this is a bar and music is played at high levels leaving any type of conversation to be loud. As the waitress left our seated area, more guests for our celebration arrived and purchased beverages from the bar area and food from the table area, approximately 20 guests. About 15-20 minutes pass and then security comes to our area and directly tells us that we need to leave and that all he knows is the waitress told him that we were being aggressive, rude and rowdy. All of which were just not true, this establishment was packed on both floors with drunk and disorderly people, the group of people who arrived with our party were not that. Any of their camera footage will show that. I was able to ask the security to speak with me to the side and asked him as to why he was telling our party to leave and that we have a reserved section. He then let me know that he would go and get the manager to help clear up the situation. Prior to the manager arriving I personally witnessed the waitress proceed to tell her manager the same lies she had told security to get us to leave. I then approached the manager as he was yelling at our party ""Who is in charge, who disrespected my waitress"". Trying to explain to him the situation with the service of his waitress all he kept doing was repeating himself ""Anyone who disrespect my staff has to leave"" and then just ignoring anytime myself or any one else from our party by pulling his phone out and looking down. This was completely handled unprofessionally and was a major inconvenience to even attempt to relocate a planned birthday celebration to another location at 11:30pm. Frankly the manager was very arrogant as if he has bar in NYC and will fill it anyway. This situation could have been resolved in a much better way than how it was handled. As we were forced to leave I was unable to ask for a refund on any food & beverage that was purchased as the majority of the goods & services could not be consumed or used.",1
